"State","January 2015","February 2015","March 2015","April 2015","May 2015","June 2015","July 2015","August 2015","September 2015","October 2015","November 2015","December 2015","January 2016","February 2016","March 2016","April 2016","May 2016","June 2016","July 2016","August 2016","September 2016","October 2016","November 2016","December 2016","January 2017","February 2017","March 2017","April 2017","May 2017","June 2017","July 2017","August 2017","September 2017","October 2017","November 2017","December 2017","January 2018","February 2018","March 2018","April 2018","May 2018","June 2018","July 2018","August 2018","September 2018","October 2018","November 2018","December 2018","January 2019","February 2019","March 2019","April 2019","May 2019","June 2019","July 2019","August 2019","September 2019","October 2019","November 2019","December 2019","January 2020","February 2020","March 2020","April 2020","May 2020","June 2020","July 2020","August 2020","September 2020","October 2020","November 2020","December 2020","January 2021",
"Alabama","6.1","6.1","6.1","6.1","6.1","6.2","6.2","6.2","6.1","6.1","6.1","6.1","6.1","6.0","6.0","5.9","5.9","5.9","5.9","5.9","5.9","5.9","5.8","5.7","5.5","5.3","5.1","4.9","4.7","4.5","4.4","4.3","4.2","4.1","4.0","4.0","4.0","4.0","4.0","4.0","4.0","4.0","4.0","3.9","3.9","3.8","3.8","3.7","3.6","3.5","3.3","3.2","3.1","2.9","2.9","2.8","2.8","2.8","2.7","2.7","2.7","2.6","2.6","13.2","7.9","7.7","7.4","7.1","6.7","4.7","4.7","4.7","4.3",
"Alaska","6.2","6.3","6.3","6.3","6.3","6.3","6.2","6.2","6.2","6.3","6.3","6.4","6.4","6.5","6.5","6.5","6.6","6.6","6.6","6.7","6.7","6.7","6.7","6.7","6.6","6.6","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.4","6.4","6.3","6.2","6.1","6.0","5.9","5.9","5.8","5.8","5.8","5.8","5.8","5.8","5.8","5.7","5.6","5.5","5.4","5.4","5.4","5.4","5.3","5.2","5.0","5.0","5.0","5.1","5.1","11.8","11.6","11.3","11.0","7.2","7.0","6.5","6.5","6.5","6.6",
"Arizona","6.4","6.3","6.2","6.2","6.1","6.1","6.1","6.0","6.0","5.9","5.8","5.8","5.7","5.6","5.6","5.6","5.5","5.5","5.5","5.4","5.4","5.4","5.3","5.3","5.2","5.2","5.1","5.0","5.0","4.9","4.9","4.8","4.8","4.8","4.9","4.9","4.9","4.8","4.8","4.7","4.7","4.7","4.7","4.8","4.8","4.9","5.0","5.0","5.0","5.0","5.0","4.9","4.9","4.9","4.9","4.8","4.8","4.7","4.7","4.7","4.8","4.9","5.0","14.2","10.6","10.7","10.4","7.0","6.9","6.8","6.8","6.8","6.7",
"Arkansas","5.5","5.4","5.4","5.3","5.2","5.1","4.9","4.8","4.6","4.5","4.4","4.3","4.2","4.1","4.0","4.0","4.0","4.0","4.0","4.0","3.9","3.9","3.9","3.8","3.8","3.7","3.7","3.7","3.7","3.7","3.7","3.7","3.8","3.8","3.8","3.8","3.8","3.8","3.7","3.7","3.6","3.6","3.6","3.6","3.6","3.6","3.7","3.7","3.6","3.6","3.5","3.4","3.4","3.5","3.5","3.5","3.5","3.5","3.5","3.6","3.7","3.8","3.9","10.0","8.5","7.8","7.1","6.5","5.9","5.6","5.3","4.9","4.6",
"California","6.8","6.7","6.6","6.5","6.4","6.3","6.2","6.0","5.9","5.8","5.8","5.7","5.7","5.6","5.6","5.5","5.5","5.5","5.5","5.5","5.5","5.5","5.4","5.4","5.3","5.2","5.1","5.0","4.9","4.8","4.8","4.7","4.7","4.6","4.5","4.5","4.4","4.4","4.3","4.3","4.2","4.2","4.2","4.2","4.2","4.3","4.3","4.3","4.3","4.3","4.2","4.1","4.1","4.1","4.1","4.1","4.1","4.1","4.1","4.2","4.2","4.3","4.5","16.0","15.6","14.1","13.2","12.3","10.6","9.8","8.7","9.3","9.0",
"Colorado","4.1","4.1","4.1","4.0","3.9","3.8","3.7","3.6","3.5","3.4","3.4","3.3","3.3","3.3","3.3","3.3","3.3","3.2","3.2","3.1","3.0","3.0","2.9","2.7","2.6","2.5","2.4","2.4","2.4","2.5","2.6","2.7","2.8","2.8","2.8","2.9","2.9","2.9","2.9","3.0","3.0","3.1","3.1","3.1","3.1","3.1","3.1","3.1","3.0","2.9","2.8","2.7","2.6","2.6","2.6","2.6","2.5","2.5","2.5","2.6","2.7","2.8","4.7","12.1","11.6","11.3","7.4","7.1","7.0","6.9","6.9","6.9","6.6",
"Connecticut","6.0","5.9","5.8","5.8","5.7","5.6","5.6","5.5","5.4","5.4","5.4","5.3","5.2","5.2","5.1","5.0","4.9","4.9","4.8","4.7","4.7","4.7","4.6","4.6","4.6","4.5","4.5","4.5","4.4","4.4","4.4","4.4","4.3","4.3","4.3","4.3","4.2","4.2","4.1","4.0","4.0","3.9","3.8","3.8","3.8","3.8","3.7","3.7","3.7","3.7","3.6","3.6","3.5","3.5","3.5","3.6","3.6","3.6","3.6","3.6","3.7","3.7","3.8","8.6","11.4","11.4","11.3","8.4","8.3","8.2","8.2","8.2","8.1",
"Delaware","5.0","4.9","4.9","4.9","4.9","4.8","4.8","4.7","4.7","4.7","4.6","4.6","4.5","4.5","4.4","4.4","4.4","4.5","4.5","4.5","4.6","4.6","4.7","4.7","4.7","4.6","4.6","4.5","4.5","4.4","4.4","4.4","4.4","4.4","4.3","4.2","4.1","4.0","3.9","3.8","3.7","3.6","3.6","3.6","3.6","3.5","3.5","3.5","3.5","3.5","3.4","3.4","3.4","3.5","3.6","3.7","3.8","3.9","4.0","4.1","4.3","4.5","4.8","13.4","13.3","12.9","8.3","7.9","7.6","5.7","5.8","5.9","6.0",
"District of Columbia","7.4","7.3","7.2","7.2","7.0","6.9","6.8","6.8","6.7","6.6","6.6","6.5","6.4","6.3","6.2","6.1","6.1","6.1","6.2","6.2","6.3","6.3","6.3","6.3","6.3","6.2","6.2","6.2","6.2","6.2","6.2","6.1","6.1","6.0","6.0","5.9","5.9","5.8","5.8","5.8","5.7","5.6","5.6","5.5","5.6","5.6","5.7","5.8","5.8","5.8","5.7","5.6","5.4","5.3","5.2","5.2","5.1","5.0","4.9","4.9","4.9","5.0","5.2","11.1","8.9","8.9","8.9","8.8","8.7","8.8","8.8","8.8","8.4",
"Florida","5.9","5.8","5.8","5.7","5.7","5.6","5.5","5.4","5.3","5.3","5.2","5.1","5.1","5.0","5.0","4.9","4.9","4.9","4.9","4.9","4.9","4.9","4.8","4.8","4.7","4.5","4.4","4.3","4.3","4.2","4.2","4.2","4.1","4.1","4.0","4.0","3.9","3.9","3.8","3.7","3.6","3.6","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.4","3.4","3.3","3.3","3.2","3.3","3.3","3.2","3.2","3.2","3.2","3.3","3.3","4.9","14.0","14.2","11.6","11.5","7.9","7.2","5.8","5.4","5.1","4.8",
"Georgia","6.5","6.4","6.3","6.3","6.2","6.1","6.0","5.9","5.9","5.8","5.8","5.7","5.7","5.7","5.6","5.5","5.4","5.4","5.4","5.4","5.4","5.4","5.4","5.3","5.2","5.1","5.0","4.9","4.9","4.8","4.7","4.6","4.6","4.5","4.5","4.4","4.3","4.3","4.2","4.1","4.0","4.0","3.9","3.9","3.9","3.9","3.9","3.9","3.9","3.8","3.7","3.6","3.6","3.5","3.5","3.5","3.4","3.3","3.3","3.3","3.3","3.5","3.6","12.5","9.4","8.4","7.6","7.0","6.5","5.9","5.6","5.3","5.1",
"Hawaii","3.8","3.8","3.7","3.6","3.5","3.4","3.3","3.3","3.2","3.2","3.1","3.1","3.0","3.0","3.0","3.0","3.0","2.9","2.9","2.9","2.8","2.8","2.7","2.7","2.6","2.5","2.5","2.4","2.3","2.2","2.1","2.0","2.0","2.0","2.0","2.0","2.1","2.1","2.1","2.2","2.2","2.3","2.4","2.4","2.5","2.6","2.7","2.7","2.7","2.7","2.6","2.6","2.5","2.5","2.5","2.4","2.3","2.2","2.1","2.1","2.0","2.1","2.1","21.9","21.9","14.1","14.1","14.1","14.8","14.0","10.3","10.3","10.2",
"Idaho","3.8","3.9","3.9","3.9","3.9","3.9","3.9","3.9","3.9","3.8","3.8","3.8","3.8","3.8","3.7","3.7","3.7","3.7","3.7","3.7","3.6","3.6","3.6","3.5","3.4","3.4","3.3","3.2","3.1","3.1","3.1","3.1","3.1","3.1","3.0","3.0","3.0","2.9","2.8","2.8","2.8","2.7","2.7","2.7","2.8","2.8","2.9","2.9","2.9","2.9","2.8","2.8","2.8","2.8","2.8","2.8","2.7","2.7","2.6","2.5","2.6","2.6","2.7","11.6","8.3","7.0","5.9","4.9","6.0","4.8","4.3","3.8","3.4",
"Illinois","6.1","6.1","6.0","6.0","6.0","6.0","5.9","5.9","5.9","5.9","6.0","6.1","6.2","6.2","6.2","6.1","6.0","5.9","5.8","5.8","5.7","5.7","5.6","5.4","5.3","5.1","5.0","5.0","4.9","4.9","5.0","5.0","4.9","4.8","4.8","4.7","4.5","4.5","4.4","4.3","4.3","4.3","4.3","4.3","4.3","4.4","4.4","4.5","4.5","4.5","4.4","4.2","4.1","4.0","3.9","3.8","3.7","3.6","3.5","3.5","3.5","3.6","3.7","16.5","15.4","14.2","12.0","11.1","10.4","8.1","8.1","8.0","7.7",
"Indiana","5.4","5.2","5.1","4.9","4.8","4.7","4.6","4.6","4.5","4.5","4.5","4.6","4.6","4.6","4.6","4.6","4.5","4.4","4.4","4.3","4.2","4.1","4.1","4.0","3.8","3.7","3.6","3.5","3.4","3.4","3.5","3.5","3.5","3.4","3.3","3.3","3.3","3.3","3.3","3.4","3.4","3.4","3.4","3.4","3.4","3.4","3.4","3.5","3.5","3.4","3.3","3.3","3.2","3.2","3.2","3.2","3.2","3.1","3.1","3.1","3.2","3.2","3.3","16.9","12.0","10.1","8.6","7.3","6.3","5.6","5.0","4.6","4.2",
"Iowa","3.9","3.8","3.8","3.8","3.7","3.7","3.6","3.6","3.6","3.6","3.6","3.6","3.6","3.6","3.6","3.6","3.6","3.7","3.6","3.6","3.6","3.5","3.5","3.4","3.4","3.3","3.2","3.2","3.1","3.1","3.1","3.0","3.0","2.9","2.9","2.8","2.8","2.7","2.7","2.6","2.6","2.5","2.5","2.5","2.5","2.6","2.6","2.6","2.7","2.7","2.7","2.7","2.7","2.7","2.8","2.8","2.8","2.8","2.8","2.8","2.8","2.9","2.9","11.1","8.3","7.1","6.1","5.3","4.7","4.2","3.9","3.7","3.5",
"Kansas","4.3","4.4","4.4","4.4","4.3","4.2","4.1","4.0","4.0","3.9","3.9","3.9","3.9","3.9","3.9","4.0","4.0","4.0","4.1","4.1","4.1","4.1","4.1","4.0","3.9","3.8","3.7","3.7","3.6","3.6","3.6","3.6","3.6","3.5","3.5","3.5","3.4","3.4","3.3","3.3","3.2","3.2","3.2","3.2","3.3","3.3","3.3","3.3","3.3","3.3","3.2","3.1","3.1","3.1","3.1","3.1","3.1","3.1","3.1","3.1","3.1","3.2","3.2","12.6","9.0","7.0","6.6","6.2","6.1","4.7","4.7","4.7","3.5",
"Kentucky","5.3","5.3","5.3","5.3","5.2","5.2","5.2","5.2","5.2","5.2","5.2","5.2","5.2","5.1","5.1","5.0","4.9","4.9","4.9","5.0","5.0","5.1","5.1","5.1","5.1","5.0","5.0","5.0","4.9","4.9","4.8","4.7","4.6","4.5","4.4","4.3","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.1","4.1","4.1","4.1","4.1","4.1","4.1","4.1","4.1","4.1","4.1","4.2","4.2","16.9","10.9","5.7","5.6","5.5","5.5","5.5","5.6","5.6","5.3",
"Louisiana","6.8","6.7","6.6","6.5","6.4","6.3","6.1","6.1","6.0","6.0","6.0","6.0","6.0","6.1","6.1","6.1","6.1","6.1","6.1","6.1","6.1","6.1","6.0","5.9","5.8","5.7","5.5","5.4","5.2","5.1","5.0","4.9","4.8","4.7","4.7","4.7","4.7","4.7","4.8","4.9","4.9","4.9","4.9","4.9","4.8","4.8","4.8","4.8","4.7","4.6","4.4","4.4","4.3","4.4","4.5","4.7","4.8","4.9","4.9","5.0","5.1","5.2","5.3","13.1","13.1","9.4","9.1","8.2","8.0","7.9","7.9","7.9","7.6",
"Maine","4.9","4.8","4.7","4.6","4.5","4.4","4.3","4.2","4.1","4.1","4.0","4.0","4.0","3.9","3.9","3.9","3.8","3.8","3.8","3.7","3.7","3.7","3.6","3.5","3.5","3.4","3.4","3.4","3.4","3.4","3.4","3.4","3.4","3.3","3.2","3.1","3.0","2.9","2.9","3.0","3.1","3.2","3.2","3.3","3.3","3.2","3.2","3.1","3.0","2.8","2.7","2.6","2.6","2.6","2.7","2.7","2.7","2.7","2.7","2.8","3.0","3.1","3.1","9.1","8.3","5.3","8.8","5.2","4.9","4.8","4.9","5.0","5.2",
"Maryland","5.4","5.3","5.3","5.2","5.1","5.0","4.9","4.9","4.8","4.7","4.7","4.6","4.5","4.4","4.3","4.3","4.3","4.3","4.2","4.2","4.3","4.3","4.2","4.2","4.2","4.1","4.1","4.1","4.0","4.0","4.0","4.1","4.1","4.1","4.1","4.1","4.1","4.0","4.0","3.9","3.9","3.8","3.8","3.7","3.7","3.7","3.7","3.7","3.7","3.6","3.6","3.5","3.5","3.5","3.5","3.5","3.4","3.4","3.3","3.3","3.4","3.5","3.5","9.0","9.0","8.6","8.7","8.6","7.0","6.8","6.8","6.8","6.4",
"Massachusetts","5.2","5.1","5.0","5.0","4.9","4.8","4.7","4.7","4.6","4.6","4.5","4.4","4.4","4.3","4.2","4.1","4.1","4.0","3.9","3.9","3.9","3.9","3.9","3.9","3.9","3.8","3.8","3.8","3.8","3.8","3.8","3.8","3.8","3.8","3.8","3.7","3.7","3.6","3.6","3.5","3.5","3.5","3.4","3.4","3.3","3.3","3.3","3.3","3.2","3.2","3.1","3.1","3.0","3.0","3.0","3.0","3.0","2.9","2.9","2.9","2.8","2.8","2.7","16.4","15.3","14.8","9.8","9.3","8.9","8.5","8.4","8.4","7.8",
"Michigan","6.0","5.9","5.8","5.7","5.6","5.5","5.4","5.2","5.1","5.0","5.0","4.9","4.9","4.9","5.0","5.0","5.0","5.0","5.0","5.0","5.1","5.1","5.1","5.0","4.9","4.7","4.5","4.4","4.3","4.4","4.5","4.6","4.7","4.7","4.7","4.6","4.5","4.4","4.3","4.2","4.1","4.0","4.0","4.0","4.0","4.1","4.1","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.1","4.1","4.0","3.9","3.8","3.7","3.7","3.7","3.7","23.6","20.8","14.1","9.0","8.5","8.2","8.1","8.2","8.2","5.7",
"Minnesota","3.8","3.8","3.8","3.8","3.8","3.8","3.8","3.8","3.8","3.7","3.8","3.8","3.8","3.8","3.8","3.8","3.8","3.8","3.9","3.9","4.0","4.0","4.0","3.9","3.8","3.7","3.6","3.5","3.5","3.4","3.4","3.4","3.3","3.3","3.2","3.2","3.1","3.1","3.1","3.0","3.0","2.9","2.9","2.9","3.0","3.0","3.1","3.2","3.2","3.2","3.2","3.2","3.1","3.1","3.1","3.1","3.1","3.1","3.1","3.1","3.2","3.3","3.5","9.0","11.3","8.9","7.6","6.6","5.8","5.3","5.0","4.7","4.5",
"Mississippi","6.8","6.7","6.7","6.6","6.5","6.4","6.3","6.3","6.3","6.4","6.4","6.4","6.3","6.2","6.1","6.0","6.0","5.9","5.9","5.9","5.9","5.9","5.8","5.7","5.6","5.5","5.4","5.4","5.3","5.3","5.2","5.1","5.0","5.0","4.9","4.9","4.9","4.9","4.9","4.9","4.9","4.8","4.8","4.8","4.9","5.0","5.2","5.3","5.4","5.4","5.4","5.4","5.4","5.5","5.6","5.7","5.7","5.6","5.6","5.5","5.6","5.8","6.0","15.7","11.0","9.6","8.5","7.8","7.2","6.9","6.7","6.6","6.4",
"Missouri","5.6","5.6","5.6","5.5","5.3","5.2","5.0","4.9","4.8","4.7","4.6","4.5","4.5","4.4","4.4","4.5","4.6","4.7","4.7","4.7","4.7","4.6","4.5","4.3","4.2","4.0","3.9","3.9","3.8","3.7","3.7","3.7","3.6","3.6","3.6","3.5","3.5","3.4","3.3","3.3","3.2","3.2","3.1","3.1","3.1","3.1","3.1","3.2","3.2","3.2","3.2","3.1","3.1","3.2","3.2","3.3","3.4","3.4","3.5","3.5","3.6","3.6","3.7","12.5","9.6","8.1","6.8","6.0","5.4","5.0","4.7","4.4","4.3",
"Montana","4.3","4.3","4.3","4.2","4.3","4.3","4.3","4.3","4.3","4.3","4.3","4.3","4.4","4.4","4.4","4.4","4.4","4.3","4.3","4.3","4.3","4.3","4.2","4.2","4.2","4.2","4.1","4.1","4.1","4.1","4.1","4.1","4.1","4.1","4.1","4.0","4.0","3.9","3.9","3.8","3.8","3.7","3.7","3.7","3.7","3.7","3.7","3.7","3.7","3.6","3.6","3.6","3.6","3.6","3.6","3.6","3.6","3.6","3.6","3.6","3.7","3.7","3.8","11.9","9.1","7.6","6.6","5.8","5.2","4.7","4.5","4.2","4.0",
"Nebraska","2.9","2.9","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.1","3.1","3.1","3.1","3.2","3.1","3.1","3.1","3.0","3.0","2.9","2.9","2.9","2.9","2.9","2.9","2.9","2.9","2.9","2.9","2.9","2.9","2.8","2.8","2.8","2.8","2.8","2.8","2.9","2.9","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","2.9","2.9","2.9","2.9","3.0","3.1","7.4","5.4","6.6","4.4","4.0","3.8","3.6","3.4","3.4","3.2",
"Nevada","7.4","7.3","7.2","7.1","7.0","6.9","6.8","6.7","6.6","6.5","6.4","6.3","6.2","6.2","6.1","6.0","5.9","5.8","5.7","5.7","5.6","5.6","5.5","5.4","5.3","5.2","5.2","5.1","5.1","5.0","5.0","4.9","4.9","4.9","4.8","4.8","4.7","4.6","4.6","4.5","4.4","4.3","4.3","4.3","4.3","4.3","4.3","4.3","4.2","4.1","4.1","4.0","3.9","3.9","3.9","3.9","3.8","3.7","3.7","3.6","3.7","3.7","6.4","29.5","24.5","15.4","16.6","14.5","13.0","12.0","8.7","8.2","8.1",
"New Hampshire","3.8","3.8","3.7","3.6","3.5","3.4","3.3","3.3","3.2","3.1","3.0","3.0","2.9","2.9","2.8","2.8","2.9","2.9","2.9","2.9","2.9","2.9","2.9","2.9","2.9","2.9","2.9","2.8","2.8","2.8","2.8","2.8","2.8","2.8","2.8","2.8","2.8","2.8","2.7","2.7","2.7","2.6","2.6","2.6","2.5","2.6","2.6","2.6","2.6","2.6","2.6","2.6","2.6","2.6","2.6","2.6","2.6","2.6","2.6","2.6","2.6","2.6","2.7","16.0","13.4","10.3","8.1","6.6","5.5","4.7","4.2","3.8","3.6",
"New Jersey","6.3","6.3","6.2","6.1","6.0","5.8","5.6","5.5","5.3","5.2","5.1","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","4.9","4.9","4.8","4.7","4.6","4.5","4.5","4.4","4.4","4.5","4.5","4.5","4.6","4.6","4.5","4.5","4.4","4.4","4.3","4.2","4.1","4.0","3.9","3.8","3.8","3.7","3.7","3.6","3.6","3.5","3.4","3.3","3.2","3.2","3.3","3.4","3.5","3.5","3.6","3.6","3.7","3.7","3.8","16.6","16.5","16.3","13.1","11.0","7.8","7.7","10.2","7.7","7.9",
"New Mexico","6.5","6.6","6.7","6.7","6.7","6.7","6.6","6.6","6.6","6.5","6.5","6.5","6.5","6.5","6.6","6.6","6.7","6.8","6.9","6.9","6.9","6.9","6.9","6.8","6.7","6.6","6.5","6.4","6.2","6.1","6.0","5.9","5.8","5.7","5.6","5.4","5.2","5.1","4.9","4.8","4.8","4.7","4.8","4.8","4.9","5.0","5.1","5.2","5.2","5.1","5.1","5.1","5.0","5.0","5.0","5.0","5.0","4.9","4.9","5.0","5.1","5.3","5.4","10.0","10.0","9.8","12.5","9.3","8.6","8.5","8.5","8.6","8.7",
"New York","5.7","5.6","5.6","5.5","5.4","5.3","5.2","5.0","4.9","4.9","4.9","4.8","4.8","4.8","4.8","4.8","4.8","4.9","4.9","5.0","5.0","5.0","4.9","4.8","4.7","4.7","4.6","4.6","4.6","4.7","4.7","4.7","4.7","4.6","4.6","4.6","4.5","4.4","4.3","4.2","4.1","4.0","3.9","3.9","3.9","3.9","4.0","4.0","4.0","3.9","3.9","3.8","3.8","3.8","3.8","3.8","3.8","3.8","3.7","3.7","3.8","3.9","3.9","16.2","15.7","15.0","14.7","11.7","10.0","8.7","8.7","8.7","8.8",
"North Carolina","5.7","5.7","5.8","5.8","5.8","5.8","5.7","5.7","5.6","5.5","5.4","5.4","5.3","5.2","5.2","5.1","5.1","5.0","5.0","5.1","5.1","5.1","5.0","5.0","4.9","4.8","4.7","4.6","4.5","4.5","4.5","4.4","4.4","4.4","4.4","4.3","4.3","4.2","4.1","4.1","4.0","4.0","3.9","3.9","3.9","3.9","4.0","4.0","4.0","4.0","4.0","3.9","3.9","3.8","3.8","3.7","3.7","3.6","3.5","3.5","3.5","3.6","3.9","13.5","13.5","8.8","8.8","6.8","7.3","6.8","6.4","6.1","5.9",
